label,expected_prediction,expected_confidence,expected_correct,source_port,destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_s,flow_packets_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_s,bwd_packets_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,fwd_header_length_1,fwd_avg_bytes_bulk,fwd_avg_packets_bulk,fwd_avg_bulk_rate,bwd_avg_bytes_bulk,bwd_avg_packets_bulk,bwd_avg_bulk_rate,subflow_fwd_packets,subflow_fwd_bytes,subflow_bwd_packets,subflow_bwd_bytes,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
BENIGN,DoS Hulk,1,False,44386,80,6,235.000000002,2,0,0,1.96450855583e-10,0,0,0,0,0,0,0,0,6.98491930962e-10,8510.638298,235,4.65661287308e-10,235,235,235,235,0,235.000000002,235,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,0,0,0,0,63.9999999992,0,8510.638298,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63.9999999992,0,0,0,0,0,0,2,0,0,1.70985003933e-10,251,-1,0,32,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,DoS Hulk,0.63,False,35583,80,6,182,2,0,0,1.96450855583e-10,0,0,0,0,0,0,0,0,6.98491930962e-10,10989.010989,182,4.65661287308e-10,182,182,182,182,0,182,182,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,0,0,0,0,63.9999999992,0,10989.010989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,63.9999999992,0,0,0,0,0,0,2,0,0,1.70985003933e-10,251,-1,0,32,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,BENIGN,1,True,443,58105,6,3,2,0,37,1.96450855583e-10,37,0,18.5,26.1629509039,0,0,0,0,12333333.3333,666666.666667,3,4.65661287308e-10,3,3.00000000006,3,3,0,3.00000000186,3,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,1,0,0,0,63.9999999992,0,666666.666667,0,0,37,24.6666666667,21.36195996,456.333333333,0,1,0,0,1,0,0,0,0,37,18.5,0,63.9999999992,0,0,0,0,0,0,2,37,0,1.70985003933e-10,972,-1,0,32,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,BENIGN,1,True,47784,443,6,650824,1,2,0,1.96450855583e-10,0,0,0,0,0,0,0,0,6.98491930962e-10,4.609541136,325412,279438.7004,523005,127819,1.86264514923e-09,0,0,1.86264514923e-09,0,523005,523005,2.32830643654e-10,523005,523005,0,0,0,0,31.9999999981,51.9999999999,1.536513712,3.073027424,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,31.9999999981,0,0,0,0,0,0,1,0,2,1.70985003933e-10,319,17,0,32,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,BENIGN,1,True,443,34254,6,3,2,0,31,1.96450855583e-10,31,0,15.5,21.9203102168,0,0,0,0,10333333.3333,666666.666667,3,4.65661287308e-10,3,3.00000000006,3,3,0,3.00000000186,3,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,1,0,0,0,63.9999999992,0,666666.666667,0,0,31,20.6666666667,17.8978583449,320.333333333,0,1,0,0,1,0,0,0,0,31,15.5,0,63.9999999992,0,0,0,0,0,0,2,31,0,1.70985003933e-10,75,-1,0,32,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,BENIGN,1,True,45707,443,6,3,2,0,12,1.96450855583e-10,6,6,6,0,0,0,0,0,4000000,666666.666667,3,4.65661287308e-10,3,3.00000000006,3,3,0,3.00000000186,3,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,0,0,0,0,39.9999999978,0,666666.666667,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,39.9999999978,0,0,0,0,0,0,2,12,0,1.70985003933e-10,0,-1,1,20,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
BENIGN,BENIGN,0.99,True,1844,443,6,3945613,3,2,0,1.96450855583e-10,0,0,0,0,0,0,0,0,6.98491930962e-10,1.26723021202,986403.25,1348693.027,3000423,225038,3720434,1860217,1612494.789,3000423,720011,720152,720152,2.32830643654e-10,720152,720152,0,0,0,0,91.9999999983,39.9999999999,0.760338127009,0.506892085004,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91.9999999983,0,0,0,0,0,0,3,0,2,1.70985003933e-10,8192,0,0,27.9999999999,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
Bot,BENIGN,0.57,False,52096,8080,6,1030566,3,3,0,18,0,0,0,0,6,6,6,0,17.4661302604,5.82204342101,206113.2,281424.5392,514970,432,1030134,515067,796.2022356,515630,514504,1029888,514944,647.7098116,515402,514486,0,0,0,0,91.9999999983,60,2.91102171002,2.91102171,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,91.9999999983,0,0,0,0,0,0,3,0,3,18.0000000002,8192,0,0,27.9999999999,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
Bot,BENIGN,0.59,False,6439,8080,6,1025186,3,3,0,18,0,0,0,0,6,6,6,0,17.5577895103,5.852596504,205037.2,280097.7819,514329,457,1024663,512331.5,3471.187189,514786,509877,1024706,512353,3534.119692,514852,509854,0,0,0,0,91.9999999983,60,2.926298252,2.926298252,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,91.9999999983,0,0,0,0,0,0,3,0,3,18.0000000002,8192,0,0,27.9999999999,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
Bot,Bot,0.84,True,8080,53722,6,40,1,1,6,6.00000000022,6,6,6,0,6,6,6,0,300000,50000,40.0000000002,4.65661287308e-10,40,40.0000000003,1.86264514923e-09,0,0,1.86264514923e-09,0,0,6.98491930962e-10,2.32830643654e-10,9.31322574615e-10,5.82076609135e-10,0,0,0,0,19.9999999985,19.9999999999,25000,25000,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,19.9999999985,0,0,0,0,0,0,1,6,1,6.00000000001,255,256,0,20,0,0,0,0,0,3.49245965481e-10,1.86264514923e-09,1.86264514923e-09
