held_out_attack,full_dataset_samples,holdout_test_rows,control_seen_binary_recall,binary_unseen_attack_recall,binary_recall_drop_when_unseen,binary_recall_ci95_low,binary_recall_ci95_high,binary_high_confidence_false_negative_rate,binary_benign_false_positive_rate,control_seen_multiclass_recall,multiclass_predicted_as_benign_rate,multiclass_most_common_forced_label,multiclass_mean_confidence
Bot,1966,392,0.9923469387755102,0.0,0.9923469387755102,0.0,0.009704892057833234,1.0,0.0022499999999999742,0.9923469387755102,1.0,BENIGN,0.9704081632653061
DDoS,128027,20000,0.99965,0.634,0.36565000000000003,0.6272987052583875,0.6406498271875003,0.3298,0.0030000000000000027,0.99935,0.41375,PortScan,0.667095
DoS GoldenEye,10293,2088,0.9985632183908046,0.5704022988505747,0.42816091954022995,0.5490590667301001,0.5914869478438524,0.042624521072796934,0.0026000000000000467,0.9990421455938697,0.4631226053639847,DoS Hulk,0.5640038314176246
DoS Hulk,231072,20000,0.9997,0.6403,0.35940000000000005,0.6336223939676036,0.6469237187350685,0.0899,0.0020499999999999963,0.99875,0.8322,BENIGN,0.581501
DoS Slowhttptest,5499,1081,1.0,0.8917668825161887,0.10823311748381126,0.871840073285091,0.9089190716444544,0.05550416281221091,0.002449999999999952,0.9944495837187789,0.18593894542090658,DoS slowloris,0.5414616096207217
DoS slowloris,5796,1146,0.9991273996509599,0.9773123909249564,0.021815008726003504,0.9669642858654511,0.9844711118449814,0.0,0.0027000000000000357,0.9973821989528796,0.34642233856893545,DoS Slowhttptest,0.5959860383944153
FTP-Patator,7938,1598,1.0,0.3304130162703379,0.6695869837296621,0.30778165887759856,0.35385779411201035,0.0,0.002950000000000008,1.0,0.6839799749687109,BENIGN,0.6597872340425532
PortScan,158930,20000,0.9999,0.00335,0.99655,0.0026389749467229007,0.004251781476783273,0.9778,0.0020999999999999908,0.99955,0.99925,BENIGN,0.909608
SSH-Patator,5897,1191,1.0,0.4811083123425693,0.5188916876574308,0.4528380660540215,0.5095000380093121,0.5062972292191436,0.0029000000000000137,0.9974811083123426,0.5356842989084802,BENIGN,0.6439630562552477
Web Attack  Brute Force,1507,308,0.9967532467532467,0.922077922077922,0.07467532467532467,0.8866762552123659,0.9470803699460478,0.0,0.003249999999999975,0.922077922077922,0.1590909090909091,Web Attack  XSS,0.8398701298701299
Web Attack  XSS,652,120,0.9916666666666667,0.9666666666666667,0.025000000000000022,0.9174184205147198,0.9869626598330794,0.008333333333333333,0.003049999999999997,0.5416666666666666,0.041666666666666664,Web Attack  Brute Force,0.9426666666666667
