feature,importance
destination_port,0.06198098100212391
average_packet_size,0.057124290343522496
packet_length_std,0.05293359598644842
packet_length_variance,0.0415627848804862
source_port,0.04051554180532373
init_win_bytes_backward,0.03903221487009762
min_packet_length,0.03715878309194774
avg_bwd_segment_size,0.03582097219825041
init_win_bytes_forward,0.03576701233068312
bwd_packet_length_max,0.035205640972574725
fwd_packet_length_mean,0.03440376913716676
fwd_packet_length_max,0.03436487229236841
subflow_fwd_bytes,0.03419036524439078
total_length_of_fwd_packets,0.026113153381947585
bwd_packet_length_min,0.025781195521422974
fwd_packet_length_min,0.02520217778327718
packet_length_mean,0.023774119623464377
avg_fwd_segment_size,0.0205665332781642
bwd_packet_length_std,0.020487583840580817
bwd_packet_length_mean,0.020284643698191485
max_packet_length,0.01925123192664459
subflow_bwd_bytes,0.018194804147995965
total_length_of_bwd_packets,0.017273010933208616
fwd_header_length,0.016999335925469546
fwd_header_length_1,0.01645319566271021
bwd_header_length,0.015136207587124311
protocol,0.011082563937472305
urg_flag_count,0.01022053076804451
bwd_packets_s,0.00982326652945438
total_fwd_packets,0.009630966830117323
subflow_bwd_packets,0.009383826867874564
flow_iat_max,0.00922227753189608
fwd_iat_min,0.008690341592252605
total_backward_packets,0.00798174929121352
flow_iat_std,0.0068323939499829265
fwd_iat_std,0.006723332810617679
fwd_iat_total,0.006388986221239427
flow_bytes_s,0.006259371448937216
flow_packets_s,0.0059908598610617335
subflow_fwd_packets,0.005863093389174644
min_seg_size_forward,0.005838900853127523
fwd_packet_length_std,0.005831046011568868
fwd_iat_max,0.005746455006942244
fwd_iat_mean,0.005454926946850602
flow_iat_min,0.005160885294102227
act_data_pkt_fwd,0.005100075774415122
ack_flag_count,0.004845910949814811
flow_iat_mean,0.004747710508484334
flow_duration,0.004497025541524215
bwd_iat_mean,0.004377231910234237
psh_flag_count,0.004002403823837654
idle_max,0.0039965511283259845
fwd_packets_s,0.0026803487840506455
bwd_iat_min,0.002673038389330022
idle_min,0.002528623097659991
bwd_iat_total,0.0017833695996055225
bwd_iat_std,0.001625156881791976
down_up_ratio,0.001492666141597928
bwd_iat_max,0.0013139442131425568
active_std,0.0011783126239794577
fin_flag_count,0.001012878493277413
idle_mean,0.0008874793832499478
active_max,0.0007804173873435673
active_min,0.0007236081860388711
fwd_psh_flags,0.0007139217518127254
active_mean,0.0006177573382720619
syn_flag_count,0.0004626408300498729
idle_std,0.00024677181676988226
fwd_urg_flags,4.932106603390158e-06
cwe_flag_count,3.332054560766121e-06
rst_flag_count,5.499710217379261e-08
ece_flag_count,4.367960840555244e-08
bwd_urg_flags,0.0
bwd_psh_flags,0.0
bwd_avg_bulk_rate,0.0
bwd_avg_packets_bulk,0.0
fwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
