feature,importance_mean
destination_port,0.18664355628058726
init_win_bytes_forward,0.0825652528548124
source_port,0.07569331158238173
urg_flag_count,0.00809543230016314
init_win_bytes_backward,0.004057911908646017
fwd_header_length,0.0013866231647634564
fwd_header_length_1,0.0007340946166394469
min_seg_size_forward,0.0005913539967373538
flow_iat_std,0.0005709624796084833
avg_fwd_segment_size,0.000509787928221872
total_length_of_fwd_packets,0.0004893964110930016
packet_length_std,0.00046900489396413115
subflow_fwd_bytes,0.0004690048939641089
average_packet_size,0.0004690048939641089
min_packet_length,0.0004282218597063903
packet_length_variance,0.0004282218597063903
subflow_bwd_bytes,0.0004282218597063903
fwd_packet_length_max,0.0003874388254486272
bwd_iat_min,0.00036704730831977895
bwd_iat_total,0.00036704730831977895
bwd_packets_s,0.00036704730831977895
bwd_iat_mean,0.0003670473083197567
flow_bytes_s,0.0003466557911908863
fwd_iat_min,0.0003466557911908641
avg_bwd_segment_size,0.000285481239804275
subflow_bwd_packets,0.000285481239804275
psh_flag_count,0.00026508972267538235
bwd_header_length,0.00024469820554648967
fwd_iat_std,0.00024469820554648967
bwd_iat_std,0.00024469820554648967
bwd_packet_length_max,0.0002446982055464675
total_backward_packets,0.00022430668841761926
fwd_packet_length_mean,0.00022430668841759703
total_length_of_bwd_packets,0.00022430668841759703
packet_length_mean,0.00022430668841759703
flow_iat_mean,0.0002039151712887488
max_packet_length,0.0002039151712887044
bwd_packet_length_std,0.00018352365415983397
bwd_packet_length_mean,0.00018352365415983397
flow_iat_max,0.00016313213703098573
bwd_iat_max,0.00016313213703096353
act_data_pkt_fwd,0.00014274061990209307
ack_flag_count,0.00014274061990209307
fwd_iat_max,0.00014274061990209307
fwd_iat_mean,0.0001019575856443744
bwd_packet_length_min,0.0001019575856443522
fwd_packet_length_min,8.156606851548177e-05
total_fwd_packets,6.117455138661132e-05
active_min,2.039151712887044e-05
flow_packets_s,2.039151712887044e-05
fwd_packets_s,2.2204460492503132e-17
protocol,0.0
subflow_fwd_packets,0.0
fwd_packet_length_std,0.0
bwd_avg_bulk_rate,0.0
fwd_psh_flags,0.0
bwd_psh_flags,0.0
bwd_avg_packets_bulk,0.0
rst_flag_count,0.0
syn_flag_count,0.0
bwd_urg_flags,0.0
fwd_urg_flags,0.0
fin_flag_count,0.0
cwe_flag_count,0.0
idle_mean,0.0
active_mean,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
down_up_ratio,0.0
ece_flag_count,0.0
idle_max,0.0
idle_std,0.0
active_std,0.0
active_max,0.0
idle_min,0.0
flow_iat_min,-6.117455138661132e-05
fwd_iat_total,-0.00014274061990209307
flow_duration,-0.00018352365415987836
